"","Player","Offense","Defense","Ovr","OffTO_multiplied","OReb_multiplied","OTS_multiplied","DefTO_multiplied","DReb_multiplied","DTS_multiplied","season1","season2"
"183","Josh McRoberts",0.48,0.11,0.59,0.5,-0.22,0.43,0.29,-0.02,-0.17,2014,2016
"184","Dennis Schroder",0.35,0.24,0.58,-0.45,-0.06,0.58,1.27,-0.95,0.01,2014,2016
"185","Jeff Adrien",-0.1,0.68,0.58,0.24,0.6,-0.91,-0.13,0.15,0.68,2014,2016
"186","Nick Collison",-1.56,2.14,0.58,-0.3,0.41,-1.84,0.43,0.95,0.82,2014,2016
"187","Nemanja Bjelica",0.35,0.2,0.55,-0.46,-0.21,0.86,0.53,0.36,-0.73,2014,2016
"188","Tyson Chandler",-0.91,1.46,0.55,-1.36,0.7,-0.47,-0.4,1.89,0.12,2014,2016
"189","Eric Gordon",0.15,0.4,0.55,-0.03,-1.15,1.38,0.02,-0.77,1.32,2014,2016
"190","Xavier Henry",0.51,0.02,0.54,0.35,0.19,-0.04,0.54,-0.22,-0.22,2014,2016
"191","Delon Wright",0.13,0.4,0.53,0.46,0.04,-0.29,-0.06,0.36,-0.01,2014,2016
"192","Andrew Goudelock",0.17,0.36,0.53,-0.15,0.14,0.22,0.15,-0.3,0.55,2014,2016
"193","Giannis Antetokounmpo",1.09,-0.56,0.53,-0.64,0.69,1.34,0.6,-0.52,-0.71,2014,2016
"194","Hassan Whiteside",0.16,0.37,0.53,-0.69,2.09,-1.14,-1.57,0.29,1.53,2014,2016
"195","Victor Claver",0,0.52,0.52,0.25,-0.34,0.17,0.3,-0.02,0.24,2014,2016
"196","O.J. Mayo",-0.65,1.16,0.51,-0.64,-1.14,1.3,0.42,-1.25,1.95,2014,2016
"197","Shelvin Mack",0.91,-0.41,0.5,-0.14,-0.34,1.37,-0.54,0.78,-0.68,2014,2016
"198","Gerald Wallace",0.7,-0.21,0.49,-0.24,0.2,0.66,-0.1,-0.04,-0.25,2014,2016
"199","Henry Walker",-0.31,0.8,0.49,-0.45,0.01,0.2,-0.08,0.3,0.41,2014,2016
"200","Quincy Pondexter",0.36,0.12,0.48,-0.57,0.67,0.07,-0.53,-0.01,0.55,2014,2016
"201","Omri Casspi",1.3,-0.83,0.47,-0.81,0.68,1.51,-0.26,-0.28,-0.22,2014,2016
"202","Rudy Gay",1.78,-1.33,0.45,-0.03,0.64,1.69,-0.13,0.29,-1.51,2014,2016
"203","Keith Appling",-0.05,0.5,0.45,0.1,-0.13,0.06,-0.12,0.05,0.43,2014,2016
"204","Kirk Hinrich",-0.44,0.87,0.44,-0.54,0.62,-0.5,0.57,-0.68,0.91,2014,2016
